Year,Meet,Elevation
2018,2018 Dave Little Alumi Mile,
2018,2018 Desert Heat Classic,
2018,2018 Don Church Twilight,
2018,2018 Doris Heritage Track Festival,
2018,2018 Drake Relays presented by Hy-Vee,
2018,2018 ECC Outdoor Track & Field Championships,
2018,2018 EIU Big Blue Classic,
2018,2018 ESU Homecoming Invitational,
2018,2018 ESU Invitational,
2018,2018 East Texas Invitational,
2018,2018 FHSAA State Track & Field Championships,
2018,2018 Frank Sevigne Husker Invite,
2018,2018 Friendship Invitational,
2018,2018 GLIAC Cross Country Championships,
2018,2018 GNAC Cross Country Championships,
2018,2018 GNAC Outdoor Track and Field Championship,
2018,2018 Gage McSpadden Memorial,
2018,2018 Gator Invite,
